# table	key	category	description	command
prefix	!	pane	break pane to new window	bind-key    -T prefix !       break-pane
prefix	&	other	confirm kill window	bind-key    -T prefix &       confirm-before -p "kill-window #W? (y/n)" kill-window
prefix	(	session	previous session	bind-key    -T prefix (       switch-client -p
prefix	)	session	next session	bind-key    -T prefix )       switch-client -n
prefix	,	ui	rename window	bind-key    -T prefix ,       command-prompt -I "#W" "rename-window '%%'"
prefix	-	window	split window vertically	bind-key    -T prefix -       split-window -v
prefix	.	ui	move window	bind-key    -T prefix .       command-prompt -T target { move-window -t "%%" }
prefix	/	other	keybinds search	bind-key    -T prefix /       display-popup -E -h "80%" -w "90%" "sh -c '$HOME/dotfiles/tmux/scripts/keybinds_menu.sh'"
prefix	0	window	focus window 0	bind-key    -T prefix 0       select-window -t :=0
prefix	1	window	focus window 1	bind-key    -T prefix 1       select-window -t :=1
prefix	2	window	focus window 2	bind-key    -T prefix 2       select-window -t :=2
prefix	3	window	focus window 3	bind-key    -T prefix 3       select-window -t :=3
prefix	4	window	focus window 4	bind-key    -T prefix 4       select-window -t :=4
prefix	5	window	focus window 5	bind-key    -T prefix 5       select-window -t :=5
prefix	6	window	focus window 6	bind-key    -T prefix 6       select-window -t :=6
prefix	7	window	focus window 7	bind-key    -T prefix 7       select-window -t :=7
prefix	8	window	focus window 8	bind-key    -T prefix 8       select-window -t :=8
prefix	9	window	focus window 9	bind-key    -T prefix 9       select-window -t :=9
prefix	:	ui	prompt	bind-key    -T prefix :       command-prompt
prefix	<	ui	window menu	bind-key    -T prefix <       display-menu -T "#[align=centre]#{window_index}:#{window_name}" -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
prefix	=	buffer	choose buffer	bind-key    -T prefix =       choose-buffer -Z
prefix	>	ui	pane menu	bind-key    -T prefix >       display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -x P -y P "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z }
prefix	?	other	keybinds search	bind-key    -T prefix ?       display-popup -E -h "80%" -w "90%" "sh -c '$HOME/dotfiles/zsh/scripts/commands_menu.sh'"
prefix	A	session	attach or create session by name	bind-key    -T prefix A       command-prompt -p "Session name" "new-session -A -s '%%'"
prefix	C	other	new session (fzf dir)	bind-key -r -T prefix C       display-popup -E -h "80%" -w "90%" "sh -c '$HOME/dotfiles/tmux/scripts/new_session_fzf.sh'"
prefix	C-Down	pane	resize pane down	bind-key -r -T prefix C-Down  resize-pane -D
prefix	C-Left	pane	resize pane left	bind-key -r -T prefix C-Left  resize-pane -L
prefix	C-Right	pane	resize pane right	bind-key -r -T prefix C-Right resize-pane -R
prefix	C-Up	pane	resize pane up	bind-key -r -T prefix C-Up    resize-pane -U
prefix	C-j	other	send prefix	bind-key    -T prefix C-j     send-prefix
prefix	C-n	window	next window	bind-key -r -T prefix C-n     next-window
prefix	C-o	window	rotate panes	bind-key    -T prefix C-o     rotate-window
prefix	C-p	window	previous window	bind-key -r -T prefix C-p     previous-window
prefix	C-z	pane	toggle pane zoom	bind-key -r -T prefix C-z     resize-pane -Z
prefix	D	session	choose client	bind-key    -T prefix D       choose-client -Z
prefix	DC	session	refresh client	bind-key -r -T prefix DC      refresh-client -c
prefix	Down	pane	move pane down, keep active pane	bind-key -r -T prefix Down    swap-pane -d -t "{down-of}"
prefix	E	layout	layout: spread	bind-key    -T prefix E       select-layout -E
prefix	H	pane	resize pane left 5	bind-key -r -T prefix H       resize-pane -L 5
prefix	J	pane	resize pane down 5	bind-key -r -T prefix J       resize-pane -D 5
prefix	K	pane	resize pane up 5	bind-key -r -T prefix K       resize-pane -U 5
prefix	L	pane	resize pane right 5	bind-key -r -T prefix L       resize-pane -R 5
prefix	Left	pane	move pane left, keep active pane	bind-key -r -T prefix Left    swap-pane -d -t "{left-of}"
prefix	M	pane	clear pane mark	bind-key    -T prefix M       select-pane -M
prefix	M-1	layout	layout: even horizontal	bind-key    -T prefix M-1     select-layout even-horizontal
prefix	M-2	layout	layout: even vertical	bind-key    -T prefix M-2     select-layout even-vertical
prefix	M-3	layout	layout: main horizontal	bind-key    -T prefix M-3     select-layout main-horizontal
prefix	M-4	layout	layout: main vertical	bind-key    -T prefix M-4     select-layout main-vertical
prefix	M-5	layout	layout: tiled	bind-key    -T prefix M-5     select-layout tiled
prefix	M-6	layout		bind-key    -T prefix M-6     select-layout main-horizontal-mirrored
prefix	M-7	layout		bind-key    -T prefix M-7     select-layout main-vertical-mirrored
prefix	M-Down	pane	resize pane down	bind-key -r -T prefix M-Down  resize-pane -D 5
prefix	M-Left	pane	resize pane left	bind-key -r -T prefix M-Left  resize-pane -L 5
prefix	M-Right	pane	resize pane right	bind-key -r -T prefix M-Right resize-pane -R 5
prefix	M-Up	pane	resize pane up	bind-key -r -T prefix M-Up    resize-pane -U 5
prefix	M-h	pane	resize pane left 1	bind-key -r -T prefix M-h     resize-pane -L 1
prefix	M-j	pane	resize pane down 1	bind-key -r -T prefix M-j     resize-pane -D 1
prefix	M-k	pane	resize pane up 1	bind-key -r -T prefix M-k     resize-pane -U 1
prefix	M-l	pane	resize pane right 1	bind-key -r -T prefix M-l     resize-pane -R 1
prefix	M-n	window	next window (last used order)	bind-key    -T prefix M-n     next-window -a
prefix	M-o	window	rotate panes backward	bind-key    -T prefix M-o     rotate-window -D
prefix	M-p	window	previous window (last used order)	bind-key    -T prefix M-p     previous-window -a
prefix	N	session	next session	bind-key    -T prefix N       switch-client -n
prefix	P	session	previous session	bind-key    -T prefix P       switch-client -p
prefix	PPage	buffer	copy mode (top)	bind-key    -T prefix PPage   copy-mode -u
prefix	R	other	toggle pane recording	bind-key    -T prefix R       run-shell -b $HOME/dotfiles/tmux/scripts/toggle_pipe_pane.sh
prefix	Right	pane	move pane right, keep active pane	bind-key -r -T prefix Right   swap-pane -d -t "{right-of}"
prefix	S	session	session chooser (preview)	bind-key    -T prefix S       choose-tree -Zs
